Scientific name,Catalog ID,Status,Exact filename,Image type,Author,License,Source URL,Notes
Colletia paradoxa,SBC-WL-0019,accepted,Colletia_paradoxa.jpg,Botanical illustration,Historical botanical plate; artist not clearly stated on source page,Public domain / Commons reuse status; verify source page,https://commons.wikimedia.org/wiki/File:Colletia_paradoxa_BYN.jpg,Exact taxon botanical illustration
Delphinium grandiflorum,SBC-WL-0094,accepted,Delphinium_grandiflorum.jpg,Botanical illustration,Sydenham Edwards — The Botanical Register (1820),Public domain,https://commons.wikimedia.org/wiki/File:Delphinium_grandiflorum_472.jpg,Exact taxon botanical illustration
Paulownia tomentosa,SBC-WL-0088,accepted,Paulownia_tomentosa.jpg,Botanical illustration,Siebold & Zuccarini — Flora Japonica; cleaned by CarolSpears,Public domain,https://commons.wikimedia.org/wiki/File:Paulowni_imperialis_SZ10.jpg,Exact species under historical synonym Paulownia imperialis
Viscum album,SBC-WL-0085,accepted,Viscum_album.jpg,Botanical illustration,Otto Wilhelm Thomé; digital cleanup by Frédéric / Kilom691,Public domain,https://commons.wikimedia.org/wiki/File:Illustration_Viscum_album0_clean.jpg,Exact taxon botanical illustration
Papaver somniferum,SBC-WL-0080,accepted,Papaver_somniferum.jpg,Botanical illustration,Franz Eugen Köhler — Köhler's Medizinal-Pflanzen (1897),Public domain,https://commons.wikimedia.org/wiki/File:Papaver_somniferum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-102.jpg,Exact taxon botanical illustration
Tillandsia usneoides,SBC-WL-0083,accepted,Tillandsia_usneoides.jpg,Botanical illustration,Britton & Brown / USDA-NRCS PLANTS Database,Public domain in the United States,https://commons.wikimedia.org/wiki/File:Tillandsia_usneoides01.jpg,Exact taxon line illustration; jurisdictional reuse note retained
Lessertia frutescens,SBC-WL-0064,accepted,Lessertia_frutescens.jpg,Botanical illustration,William Curtis — The Botanical Magazine (1792),Public domain,https://commons.wikimedia.org/wiki/File:Lessertia_frutescens.jpg,Exact taxon botanical illustration; also treated as Sutherlandia frutescens
Vachellia erioloba,SBC-PLANT-0007,unresolved,,, , , ,No exact legally reusable botanical/scientific illustration verified in this pass; Acacia erioloba and Acacia giraffae synonyms searched; photographs and non-exact matches rejected
Brighamia insignis,SBC-PLANT-0008,unresolved,,, , , ,No exact legally reusable botanical/scientific illustration verified in this pass; Brighamia citrina synonyms searched; ordinary photographs rejected
Clusia mangle,SBC-PLANT-0014,unresolved,,, , , ,No exact legally reusable botanical/scientific illustration verified in this pass; Clusia venosa synonym searched; ordinary photographs and related Clusia species rejected
Vachellia tortuosa,SBC-SEED-0007,unresolved,,, , , ,No exact legally reusable botanical/scientific illustration verified in this pass; Acacia tortuosa Mimosa tortuosa Poponax tortuosa and listed synonyms searched; photographs and related acacias rejected
